exp;method;block_size;run;pi;error;time
28;Numba guvectorize;4096;0;3,141592653589793;0,0;0,8190
28;Numba guvectorize;4096;1;3,141592653589793;0,0;0,8432
28;Numba guvectorize;4096;2;3,141592653589793;0,0;0,7737
28;Numba guvectorize;4096;3;3,141592653589793;0,0;0,7811
28;Numba guvectorize;4096;4;3,141592653589793;0,0;0,7742
28;Numba guvectorize;4096;5;3,141592653589793;0,0;0,7769
28;Numba guvectorize;4096;6;3,141592653589793;0,0;0,8314
28;Numba guvectorize;4096;7;3,141592653589793;0,0;0,8136
28;Numba guvectorize;4096;8;3,141592653589793;0,0;0,7824
28;Numba guvectorize;4096;9;3,141592653589793;0,0;0,7690
30;CUDA kernel;;0;3,1415926535897936;4,440892098500626e-16;0,4256
30;CUDA kernel;;1;3,1415926535897936;4,440892098500626e-16;0,4258
30;CUDA kernel;;2;3,1415926535897936;4,440892098500626e-16;0,4252
30;CUDA kernel;;3;3,1415926535897936;4,440892098500626e-16;0,4242
30;CUDA kernel;;4;3,1415926535897936;4,440892098500626e-16;0,4243
30;CUDA kernel;;5;3,1415926535897936;4,440892098500626e-16;0,4245
30;CUDA kernel;;6;3,1415926535897936;4,440892098500626e-16;0,4243
30;CUDA kernel;;7;3,1415926535897936;4,440892098500626e-16;0,4242
30;CUDA kernel;;8;3,1415926535897936;4,440892098500626e-16;0,4246
30;CUDA kernel;;9;3,1415926535897936;4,440892098500626e-16;0,4246
