exp=20, L=32, B=16, G=512
exp=20, L=256, B=64, G=16384
1 82025 0.0245s 0.0221s
1 82025 0.0225s 0.0221s
1 82025 0.0231s 0.0260s
1 82025 0.0266s 0.0221s
1 82025 0.0240s 0.0225s
1 82025 0.0240s 0.0240s
1 82025 0.0272s 0.0227s
1 82025 0.0240s 0.0224s
1 82025 0.0237s 0.0241s
0 82025 0.0267s 0.0223s
exp=20, L=256, B=128, G=32768
1 82025 0.0250s 0.0196s
1 82025 0.0200s 0.0217s
1 82025 0.0215s 0.0196s
1 82025 0.0274s 0.0328s
1 82025 0.0243s 0.0249s
1 82025 0.0219s 0.0213s
1 82025 0.0209s 0.0201s
1 82025 0.0212s 0.0201s
1 82025 0.0209s 0.0204s
1 82025 0.0201s 0.0197s
exp=20, L=256, B=256, G=65536
1 82025 0.0209s 0.0183s
0 82025 0.0208s 0.0182s
1 82025 0.0184s 0.0179s
1 82025 0.0186s 0.0199s
1 82025 0.0205s 0.0177s
1 82025 0.0249s 0.0320s
1 82025 0.0310s 0.0338s
1 82025 0.0282s 0.0261s
0 82025 0.0192s 0.0209s
0 82025 0.0190s 0.0187s
exp=20, L=512, B=16, G=8192
1 82025 0.0330s 0.0350s
1 82025 0.0381s 0.0406s
1 82025 0.0379s 0.0405s
1 82025 0.0376s 0.0370s
1 82025 0.0404s 0.0428s
1 82025 0.0373s 0.0314s
1 82025 0.0341s 0.0331s
1 82025 0.0323s 0.0314s
1 82025 0.0367s 0.0340s
1 82025 0.0363s 0.0324s
exp=20, L=512, B=32, G=16384
1 82025 0.0265s 0.0246s
1 82025 0.0248s 0.0251s
1 82025 0.0252s 0.0252s
1 82025 0.0247s 0.0288s
1 82025 0.0312s 0.0326s
1 82025 0.0256s 0.0245s
1 82025 0.0273s 0.0265s
1 82025 0.0253s 0.0255s
1 82025 0.0264s 0.0266s
1 82025 0.0284s 0.0311s
exp=20, L=512, B=64, G=32768
1 82025 0.0218s 0.0216s
1 82025 0.0205s 0.0196s
1 82025 0.0247s 0.0209s
1 82025 0.0206s 0.0215s
1 82025 0.0193s 0.0204s
1 82025 0.0213s 0.0214s
1 82025 0.0197s 0.0208s
1 82025 0.0206s 0.0203s
1 82025 0.0230s 0.0238s
1 82025 0.0209s 0.0201s
exp=20, L=512, B=128, G=65536
0 82025 0.0266s 0.0249s
1 82025 0.0282s 0.0259s
1 82025 0.0322s 0.0296s
1 82025 0.0208s 0.0202s
1 82025 0.0248s 0.0199s
1 82025 0.0246s 0.0202s
1 82025 0.0192s 0.0185s
1 82025 0.0192s 0.0219s
1 82025 0.0213s 0.0207s
1 82025 0.0226s 0.0235s
exp=20, L=512, B=256, G=131072
1 82025 0.0190s 0.0200s
1 82025 0.0233s 0.0179s
1 82025 0.0185s 0.0179s
1 82025 0.0209s 0.0199s
1 82025 0.0191s 0.0219s
1 82025 0.0208s 0.0184s
1 82025 0.0189s 0.0216s
1 82025 0.0202s 0.0180s
1 82025 0.0187s 0.0199s
1 82025 0.0228s 0.0216s
exp=22, L=32, B=16, G=512
0 295947 1.2682s 1.1583s
1 295947 1.1472s 1.1521s
0 295947 1.1519s 1.1527s
1 295947 1.1497s 1.1490s
0 295947 1.1479s 1.1513s
1 295947 1.1457s 1.1457s
1 295947 1.1433s 1.1481s
1 295947 1.1433s 1.1499s
1 295947 1.1382s 1.1517s
1 295947 1.1404s 1.1548s
exp=22, L=32, B=32, G=1024
0 295947 0.5738s 0.5789s
0 295947 0.5771s 0.5757s
0 295947 0.5783s 0.5791s
0 295947 0.5780s 0.5838s
0 295947 0.5746s 0.5802s
0 295947 0.5719s 0.5742s
1 295947 0.5751s 0.5748s
0 295947 0.5808s 0.5789s
0 295947 0.5762s 0.5813s
0 295947 0.5757s 0.5808s
exp=22, L=32, B=64, G=2048
0 295947 0.3104s 0.3037s
0 295947 0.3021s 0.3132s
0 295947 0.3105s 0.3093s
0 295947 0.3113s 0.3034s
0 295947 0.3057s 0.3101s
0 295947 0.3085s 0.3129s
0 295947 0.3143s 0.3044s
0 295947 0.3066s 0.3058s
1 295947 0.3021s 0.3143s
0 295947 0.3106s 0.3102s
exp=22, L=32, B=128, G=4096
0 295947 0.1677s 0.1697s
0 295947 0.1720s 0.1682s
0 295947 0.1724s 0.1653s
0 295947 0.1707s 0.1611s
0 295947 0.1661s 0.1635s
0 295947 0.1627s 0.1670s
0 295947 0.1636s 0.1703s
1 295947 0.1668s 0.1707s
0 295947 0.1735s 0.1673s
