exp=20, L=32, B=16, G=512
1 1077871 0.6244s 0.6241s
exp=24, L=512, B=128, G=65536
1 1077871 0.6054s 0.6054s
1 1077871 0.6049s 0.6048s
1 1077871 0.6046s 0.6042s
1 1077871 0.6061s 0.6042s
1 1077871 0.6042s 0.6036s
1 1077871 0.6040s 0.6033s
1 1077871 0.6042s 0.6044s
1 1077871 0.6055s 0.6039s
1 1077871 0.6048s 0.6043s
1 1077871 0.6046s 0.6043s
exp=24, L=512, B=256, G=131072
1 1077871 0.5699s 0.5696s
1 1077871 0.5701s 0.5693s
0 1077871 0.5700s 0.5694s
1 1077871 0.5699s 0.5696s
1 1077871 0.5710s 0.5690s
1 1077871 0.5700s 0.5697s
1 1077871 0.5696s 0.5696s
1 1077871 0.5698s 0.5696s
1 1077871 0.5699s 0.5692s
1 1077871 0.5702s 0.5700s
exp=26, L=32, B=16, G=512
1 3957809 69.3193s 70.3229s
0 3957809 70.4359s 70.9981s
0 3957809 66.4268s 66.2473s
0 3957809 66.0742s 66.2462s
0 3957809 66.2511s 66.3602s
1 3957809 66.0076s 66.2449s
0 3957809 66.2390s 66.3554s
0 3957809 66.0202s 66.2469s
0 3957809 66.2581s 66.2470s
1 3957809 66.1650s 66.2476s
exp=26, L=32, B=32, G=1024
1 3957809 33.3401s 33.2050s
0 3957809 33.2578s 34.3064s
1 3957809 34.9347s 35.1414s
0 3957809 35.1826s 35.2234s
1 3957809 35.2763s 35.2450s
0 3957809 35.2642s 33.4706s
0 3957809 33.4579s 33.2724s
1 3957809 33.1919s 33.2040s
1 3957809 33.3073s 33.2062s
0 3957809 33.4221s 34.8287s
exp=26, L=32, B=64, G=2048
0 3957809 18.7887s 18.6128s
1 3957809 18.9256s 18.7418s
0 3957809 18.9263s 18.7170s
0 3957809 18.8659s 18.6980s
0 3957809 18.9869s 18.8035s
0 3957809 18.9372s 18.8101s
0 3957809 18.2989s 17.7175s
1 3957809 17.9183s 17.7009s
0 3957809 17.8692s 17.6343s
0 3957809 17.7982s 17.6346s
exp=26, L=32, B=128, G=4096
1 3957809 9.6063s 9.4123s
0 3957809 9.5815s 9.4131s
0 3957809 9.5832s 9.4117s
0 3957809 9.5604s 9.4118s
1 3957809 9.5943s 9.4133s
0 3957809 9.5817s 9.4122s
1 3957809 9.5399s 9.4139s
1 3957809 9.5906s 9.4159s
0 3957809 9.5257s 9.4133s
1 3957809 9.5584s 9.4129s
exp=26, L=32, B=256, G=8192
1 3957809 9.3736s 9.1699s
0 3957809 9.4061s 9.1695s
0 3957809 9.4334s 9.1845s
0 3957809 9.4367s 9.1694s
0 3957809 9.2946s 9.1774s
1 3957809 9.4065s 9.1680s
0 3957809 9.3699s 9.1699s
0 3957809 9.4087s 9.1675s
0 3957809 9.4136s 9.1699s
0 3957809 9.4048s 9.1701s
exp=26, L=64, B=16, G=1024
0 3957809 33.2692s 33.1811s
0 3957809 33.2081s 33.1873s
0 3957809 33.1755s 33.1819s
0 3957809 33.1850s 33.1838s
0 3957809 33.1875s 33.1815s
0 3957809 33.2100s 33.1855s
0 3957809 33.2444s 33.1889s
0 3957809 33.2385s 33.1885s
0 3957809 33.2887s 33.1836s
0 3957809 33.1833s 33.1878s
exp=26, L=64, B=32, G=2048
0 3957809 17.7877s 17.6445s
0 3957809 17.8276s 17.6459s
0 3957809 17.8255s 17.6460s
0 3957809 17.7851s 17.6474s
0 3957809 17.8220s 17.6468s
0 3957809 17.7623s 17.6466s
0 3957809 17.8330s 17.6465s
0 3957809 17.7536s 17.6465s
0 3957809 17.8509s 17.6448s
0 3957809 17.7991s 17.6464s
exp=26, L=64, B=64, G=4096
0 3957809 9.6042s 9.4073s
0 3957809 9.6291s 9.4070s
1 3957809 9.5637s 9.4067s
1 3957809 9.5746s 9.4152s
0 3957809 9.5587s 9.4220s
1 3957809 9.5498s 9.4078s
0 3957809 9.6699s 9.4268s
0 3957809 9.5704s 9.4067s
0 3957809 9.5967s 9.4080s
0 3957809 9.5673s 9.4069s
exp=26, L=64, B=128, G=8192
1 3957809 5.9624s 5.8876s
0 3957809 5.9618s 5.8972s
0 3957809 6.0572s 5.8979s
1 3957809 6.0542s 5.8869s
1 3957809 5.9435s 5.8874s
0 3957809 6.0744s 5.8850s
1 3957809 5.9485s 5.8981s
0 3957809 6.0593s 5.8874s
0 3957809 6.0543s 5.8847s
1 3957809 6.0332s 5.8850s
exp=26, L=64, B=256, G=16384
0 3957809 5.8027s 5.5456s
1 3957809 5.7975s 5.5481s
0 3957809 5.7934s 5.5377s
0 3957809 5.8036s 5.5382s
0 3957809 5.8149s 5.5380s
0 3957809 5.6735s 5.5514s
0 3957809 5.8137s 5.5347s
1 3957809 5.6775s 5.5383s
0 3957809 5.7565s 5.5197s
1 3957809 5.8595s 5.6233s
exp=26, L=128, B=16, G=2048
0 3957809 18.6105s 18.5784s
0 3957809 18.8648s 18.6838s
0 3957809 18.8384s 18.7549s
0 3957809 18.9235s 18.8790s
0 3957809 19.0443s 18.8730s
0 3957809 19.0944s 19.0021s
0 3957809 19.1536s 17.8393s
1 3957809 17.8648s 17.7243s
0 3957809 17.8976s 17.6449s
0 3957809 17.8294s 17.6450s
exp=26, L=128, B=32, G=4096
0 3957809 9.5362s 9.4110s
0 3957809 9.5849s 9.4137s
0 3957809 9.5938s 9.4125s
1 3957809 9.5970s 9.4113s
0 3957809 9.5663s 9.4129s
0 3957809 9.6079s 9.4124s
1 3957809 9.5828s 9.4335s
0 3957809 9.6701s 9.4118s
0 3957809 9.6236s 9.4116s
1 3957809 9.5904s 9.4124s
exp=26, L=128, B=64, G=8192
0 3957809 5.9855s 5.8992s
1 3957809 6.0584s 5.8988s
1 3957809 6.0701s 5.8992s
1 3957809 6.0649s 5.8973s
1 3957809 5.9822s 5.8905s
1 3957809 6.0570s 5.8989s
0 3957809 6.0709s 5.8907s
0 3957809 6.0821s 5.8887s
1 3957809 6.0476s 5.8908s
0 3957809 5.9309s 5.8922s
exp=26, L=128, B=128, G=16384
0 3957809 5.7635s 5.5400s
0 3957809 5.5871s 5.5417s
1 3957809 5.7238s 5.4372s
0 3957809 5.7300s 5.5500s
1 3957809 5.6688s 5.5478s
0 3957809 5.7267s 5.5463s
1 3957809 5.6841s 5.4659s
0 3957809 5.7014s 5.5493s
1 3957809 5.8105s 5.5488s
1 3957809 5.7188s 5.5423s
exp=26, L=128, B=256, G=32768
1 3957809 4.8823s 4.7181s
0 3957809 4.9923s 4.6918s
0 3957809 4.8462s 4.6548s
1 3957809 4.8889s 4.6342s
1 3957809 4.9438s 4.5985s
0 3957809 4.9457s 4.7682s
1 3957809 4.9721s 4.7226s
0 3957809 4.8531s 4.7226s
0 3957809 4.9985s 4.7204s
1 3957809 4.8514s 4.7153s
exp=26, L=256, B=16, G=4096
0 3957809 10.5117s 10.1318s
1 3957809 10.5054s 10.1329s
0 3957809 10.4252s 10.1365s
0 3957809 10.4382s 10.1357s
0 3957809 10.4197s 10.1522s
0 3957809 10.4383s 10.1525s
1 3957809 10.4194s 10.1510s
0 3957809 10.4203s 10.1528s
0 3957809 10.4406s 10.1529s
0 3957809 10.4003s 10.1323s
exp=26, L=256, B=32, G=8192
0 3957809 6.7613s 6.5098s
0 3957809 6.6953s 6.5099s
0 3957809 6.6582s 6.5103s
1 3957809 6.6944s 6.5107s
0 3957809 6.6710s 6.5099s
1 3957809 6.6579s 6.4986s
0 3957809 6.6614s 6.5107s
1 3957809 6.6730s 6.4988s
0 3957809 6.6949s 6.5106s
0 3957809 6.6599s 6.5110s
exp=26, L=256, B=64, G=16384
0 3957809 5.6752s 5.5227s
0 3957809 5.6771s 5.5293s
1 3957809 5.8001s 5.5286s
0 3957809 5.5517s 5.5281s
0 3957809 5.7459s 5.3752s
1 3957809 5.7915s 5.5209s
1 3957809 5.7923s 5.5221s
0 3957809 5.5676s 5.5234s
1 3957809 5.6973s 5.4041s
1 3957809 5.6842s 5.5226s
exp=26, L=256, B=128, G=32768
1 3957809 5.1760s 4.8727s
1 3957809 5.1448s 4.8775s
0 3957809 5.0921s 4.8711s
1 3957809 4.9736s 4.8783s
0 3957809 5.0174s 4.8795s
0 3957809 5.0811s 4.8708s
1 3957809 5.0920s 4.8709s
0 3957809 5.0996s 4.8425s
0 3957809 5.1099s 4.8947s
0 3957809 5.0708s 4.8716s
exp=26, L=256, B=256, G=65536
1 3957809 4.6952s 4.5104s
1 3957809 4.6487s 4.4892s
0 3957809 4.6675s 4.4947s
1 3957809 4.6577s 4.5382s
1 3957809 4.7832s 4.5116s
0 3957809 4.6535s 4.4908s
0 3957809 4.6689s 4.4949s
0 3957809 4.7000s 4.4981s
1 3957809 4.6881s 4.4990s
0 3957809 4.6678s 4.4943s
exp=26, L=512, B=16, G=8192
1 3957809 8.0382s 7.7515s
0 3957809 8.0824s 7.7324s
0 3957809 7.9364s 7.7492s
1 3957809 7.9156s 7.7328s
1 3957809 7.9552s 7.7469s
1 3957809 7.9815s 7.7323s
0 3957809 8.0354s 7.7491s
1 3957809 8.0245s 7.7440s
1 3957809 7.9273s 7.7469s
1 3957809 8.0204s 7.7473s
exp=26, L=512, B=32, G=16384
0 3957809 6.3115s 6.0347s
1 3957809 6.1881s 6.0338s
1 3957809 6.3184s 6.0263s
1 3957809 6.1875s 6.0356s
0 3957809 6.3094s 5.9865s
1 3957809 6.2159s 6.0360s
0 3957809 6.2458s 6.0353s
1 3957809 6.2264s 6.0359s
1 3957809 6.2256s 6.0348s
1 3957809 6.2990s 6.0271s
exp=26, L=512, B=64, G=32768
1 3957809 4.9780s 4.8149s
1 3957809 5.0739s 4.8124s
1 3957809 5.0843s 4.8147s
1 3957809 5.0271s 4.8100s
1 3957809 4.9142s 4.8139s
1 3957809 5.0435s 4.8067s
1 3957809 5.0301s 4.8154s
0 3957809 4.9679s 4.8190s
1 3957809 5.0292s 4.7490s
1 3957809 5.0727s 4.8150s
exp=26, L=512, B=128, G=65536
1 3957809 4.8403s 4.6783s
0 3957809 4.9260s 4.6624s
1 3957809 4.9053s 4.6533s
1 3957809 4.9279s 4.6679s
1 3957809 4.9281s 4.6566s
1 3957809 4.9222s 4.6637s
1 3957809 4.9329s 4.6645s
1 3957809 4.8893s 4.6539s
1 3957809 4.8801s 4.6631s
1 3957809 4.8876s 4.6692s
exp=26, L=512, B=256, G=131072
1 3957809 4.6350s 4.3968s
1 3957809 4.6709s 4.3968s
1 3957809 4.6454s 4.3956s
1 3957809 4.6342s 4.3950s
1 3957809 4.5938s 4.3944s
1 3957809 4.6222s 4.3979s
1 3957809 4.6073s 4.3988s
1 3957809 4.6191s 4.3932s
0 3957809 4.6896s 4.3986s
1 3957809 4.6287s 4.3929s
