type;run;iterations;error;time
serial;0;1000;0,00125534;14,842740058898926
serial;1;1000;0,00125534;14,732775688171387
serial;2;1000;0,00125534;15,103071212768555
serial;3;1000;0,00125534;15,475496768951416
serial;4;1000;0,00125534;15,60432481765747
serial;5;1000;0,00125534;15,971449613571167
serial;6;1000;0,00125534;16,111947536468506
serial;7;1000;0,00125534;16,02824831008911
serial;8;1000;0,00125534;16,238601446151733
serial;9;1000;0,00125534;16,505802631378174
parallel;0;1000;0,00125534;1,6190950870513916
parallel;1;1000;0,00125534;1,2253475189208984
parallel;2;1000;0,00125534;1,2275919914245605
parallel;3;1000;0,00125534;1,2094910144805908
parallel;4;1000;0,00125534;1,2111706733703613
parallel;5;1000;0,00125534;1,2327053546905518
parallel;6;1000;0,00125534;1,3513109683990479
parallel;7;1000;0,00125534;1,2230300903320312
parallel;8;1000;0,00125534;1,1795320510864258
parallel;9;1000;0,00125534;1,1412804126739502
